Date,Open,High,Low,Close,Adj Close,Volume
2016-06-27,46.860001,46.860001,46.860001,46.860001,43.409828,0
2016-06-28,48.320000,48.320000,48.320000,48.320000,44.762333,0
2016-06-29,49.380001,49.380001,49.380001,49.380001,45.744289,0
2016-06-30,49.759998,49.759998,49.759998,49.759998,46.096306,0
2016-07-01,50.169998,50.169998,50.169998,50.169998,46.476120,0
2016-07-05,49.169998,49.169998,49.169998,49.169998,45.549747,0
2016-07-06,49.340000,49.340000,49.340000,49.340000,45.707230,0
2016-07-07,48.840000,48.840000,48.840000,48.840000,45.244045,0
2016-07-08,49.529999,49.529999,49.529999,49.529999,45.883240,0
2016-07-11,49.570000,49.570000,49.570000,49.570000,45.920296,0
2016-07-12,50.799999,50.799999,50.799999,50.799999,47.059738,0
2016-07-13,50.320000,50.320000,50.320000,50.320000,46.615078,0
2016-07-14,50.540001,50.540001,50.540001,50.540001,46.818882,0
2016-07-15,50.419998,50.419998,50.419998,50.419998,46.707718,0
2016-07-18,50.450001,50.450001,50.450001,50.450001,46.735504,0
2016-07-19,50.080002,50.080002,50.080002,50.080002,46.392754,0
2016-07-20,50.000000,50.000000,50.000000,50.000000,46.318638,0
2016-07-21,49.580002,49.580002,49.580002,49.580002,45.929562,0
2016-07-22,49.689999,49.689999,49.689999,49.689999,46.031460,0
2016-07-25,48.549999,48.549999,48.549999,48.549999,44.975395,0
2016-07-26,48.889999,48.889999,48.889999,48.889999,45.290367,0
2016-07-27,48.430000,48.430000,48.430000,48.430000,44.864235,0
2016-07-28,48.590000,48.590000,48.590000,48.590000,45.012455,0
2016-07-29,49.230000,49.230000,49.230000,49.230000,45.605324,0
2016-08-01,47.750000,47.750000,47.750000,47.750000,44.234303,0
2016-08-02,48.000000,48.000000,48.000000,48.000000,44.465893,0
2016-08-03,48.860001,48.860001,48.860001,48.860001,45.262573,0
2016-08-04,49.160000,49.160000,49.160000,49.160000,45.540485,0
2016-08-05,49.669998,49.669998,49.669998,49.669998,46.012932,0
2016-08-08,50.250000,50.250000,50.250000,50.250000,46.550228,0
2016-08-09,50.110001,50.110001,50.110001,50.110001,46.420536,0
2016-08-10,49.709999,49.709999,49.709999,49.709999,46.049992,0
2016-08-11,50.439999,50.439999,50.439999,50.439999,46.726242,0
2016-08-12,50.709999,50.709999,50.709999,50.709999,46.976360,0
2016-08-15,51.180000,51.180000,51.180000,51.180000,47.411755,0
2016-08-16,51.270000,51.270000,51.270000,51.270000,47.495129,0
2016-08-17,51.410000,51.410000,51.410000,51.410000,47.624825,0
2016-08-18,52.349998,52.349998,52.349998,52.349998,48.495613,0
2016-08-19,52.020000,52.020000,52.020000,52.020000,48.189911,0
2016-08-22,51.400002,51.400002,51.400002,51.400002,47.615559,0
2016-08-23,51.630001,51.630001,51.630001,51.630001,47.828629,0
2016-08-24,51.320000,51.320000,51.320000,51.320000,47.541451,0
2016-08-25,51.220001,51.220001,51.220001,51.220001,47.448811,0
2016-08-26,51.119999,51.119999,51.119999,51.119999,47.356174,0
2016-08-29,51.400002,51.400002,51.400002,51.400002,47.615559,0
2016-08-30,51.220001,51.220001,51.220001,51.220001,47.448811,0
